dsire_id,dsire_name,dsire_match_reason,source_url,llm_confidence,llm_open_questions,scenario,description,state(s),building type(s),building vintage(s),end use(s),tech(s),fuel type(s),base fuel,base fuel backup,modification,scope,ira,increase pct,performance level,performance units,credit pct,rebate amount,rebate units,start year,end year,applicable fraction,fraction notes
5351,Partial Sales and Use Tax Exemption for Agricultural Solar Power Facilities,updated,https://www.cdtfa.ca.gov/formspubs/pub235g.pdf,low,"Program provides a partial sales tax exemption for agricultural solar PV systems powering farm equipment, which does not map directly to standard Scout HVAC/envelope technologies or direct dollar/percentage rebate structures. Start year, end year, and specific equipment financial value depend on state sales tax rate and equipment purchase cost.",reference,Partial Sales and Use Tax Exemption for Agricultural Solar Power Facilities (California State Board of Equalization): https://www.cdtfa.ca.gov/formspubs/pub235g.pdf,CA,commercial,all,all,all,electricity,,,,non-federal,,,,,,,,,,,
4449,Local Option - Property Tax Exemption for Renewable Energy Systems,updated,,low,"Incentive value and tax credit percentages vary by municipality as a local option and are not quantified in the record. Source URL is missing. Renewable generation technologies (wind, hydro, solar) do not directly map to standard Scout building envelope or equipment ECMs.",reference,Local Option - Property Tax Exemption for Renewable Energy Systems,AK,all residential,all,all,all,solar,,,,non-federal,,,,,,,,2010,,,
22632,Alabama - National Electric Vehicle Infrastructure (NEVI) Formula Grant Program,updated,https://adeca.alabama.gov/ev/,low,"EV charging corridor infrastructure funded through NEVI does not map to standard Scout building end uses or technologies (HVAC, water heating, envelope). Specific dollar incentive amounts per equipment unit are not specified in the source text.",reference,Alabama ADECA - National Electric Vehicle Infrastructure (NEVI) Formula Grant Program: https://adeca.alabama.gov/ev/,AL,commercial,all,all,all,electricity,,,,non-federal,,,,,,,,2023,2026,,
22510,Energy-Efficient Retrofits Program,updated,https://adeca.alabama.gov/sep/,low,"This program provides competitive grant funding ($25k-$50k per entity/project) to local governments, K-12 schools, and non-profits for HVAC, lighting, thermostats, and solar. It lacks specific equipment performance efficiency thresholds or per-unit/per-sqft incentive definitions. Analyst needs to decide if/how to convert grant totals into standard Scout equipment rebate values.",reference,Alabama Energy Division Energy-Efficient Retrofits Program: https://adeca.alabama.gov/sep/,AL,commercial,existing,heating,ASHP,electricity,,,replace,non-federal,,,,,,50000,$/project,,2026,,
558,Property Tax Exclusion for Solar Energy Systems and Solar Plus Storage System,expired+updated,https://boe.ca.gov/proptaxes/active-solar-energy-system/,low,"This program is a property tax exclusion (100% exemption from assessed property value addition) rather than a direct equipment rebate or income tax credit. Reviewer needs to determine if/how property tax exemptions are translated into Scout's cost structure, and whether this needs to be split into discrete rows for specific technologies (e.g., PV, solar water heating, solar space conditioning).",reference,Property Tax Exclusion for Solar Energy Systems and Solar Plus Storage System (California State Board of Equalization): https://boe.ca.gov/proptaxes/active-solar-energy-system/,CA,"all residential, commercial",all,all,all,solar,all,,replace,non-federal,,,,,,,,1999,2026,,
1431,SDG&E - Residential Efficiency Rebate Program,updated,http://www.sdge.com/buyers-guide/399,medium,"No start/end years or numeric performance efficiency thresholds (e.g. UEF) were provided in the source text. Additional candidate rows could be created for the other equipment mentioned (gas tank water heater at $75, room air conditioner at $15, smart thermostats at $40-$75).",reference,SDG&E Residential Efficiency Rebate Program: http://www.sdge.com/buyers-guide/399,CA,all residential,all,water heating,electric WH,electricity,electricity,,replace,non-federal,,,,,,500,$/unit,,,,
22048,Sales and Use Tax Exemption for Electric Power Generation and Storage Equipment,expired+updated,https://www.cdtfa.ca.gov/industry/manufacturing-and-research-and-development-equipment-exemption/,low,"This program provides a sales/use tax exemption for electric power generation and storage equipment rather than standard Scout building equipment/envelope upgrades (e.g., HVAC, heat pump water heaters, insulation). Reviewer should check if power generation or storage technologies are explicitly modeled in this scenario and determine how to model a sales tax exemption (100% tax exemption) as a percentage of total installed cost.",reference,CA Sales and Use Tax Exemption for Electric Power Generation and Storage Equipment: https://www.cdtfa.ca.gov/industry/manufacturing-and-research-and-development-equipment-exemption/,CA,all commercial,all,all,all,electricity,,,,non-federal,,,,,,,,2018,,,
3306,Atmos Energy (Gas) - Energy Efficiency Rebate Program,expired+updated,https://www.atmosenergy.com/ways-to-save/colorado-rebates,medium,"Drafted for natural gas furnace option. Additional rows are required to cover other incentivized technologies in this program (e.g., boilers, tankless/storage water heaters, duct sealing, wall/attic/floor insulation). Numeric efficiency performance criteria (e.g., AFUE) are omitted because they were not explicitly specified in the text.",reference,Atmos Energy (Gas) - Energy Efficiency Rebate Program: https://www.atmosenergy.com/ways-to-save/colorado-rebates,CO,"residential, commercial",all,heating,furnace (NG),natural gas,natural gas,,replace,non-federal,,,,,80,4500,$/unit,2025,,,
3675,Black Hills Energy (Gas) - Commercial Energy Efficiency Program,expired+updated,https://www.blackhillsenergy.com/efficiency-and-savings/commercial-rebates/colorado-gas-commercial-rebates,low,"Input lists multiple commercial gas technologies (furnaces $250-$650, boilers $1,600, wall/ceiling insulation, commercial cooking equipment) without specifying performance thresholds (e.g., AFUE / thermal efficiency levels) or exact rebate tiers. Drafted furnace (NG) as a representative row, but separate rows are needed for other technologies and exact rebate values must be confirmed from program documentation.",reference,Black Hills Energy (Gas) - Commercial Energy Efficiency Program: https://www.blackhillsenergy.com/efficiency-and-savings/commercial-rebates/colorado-gas-commercial-rebates,CO,all commercial,all,heating,furnace (NG),natural gas,natural gas,,replace,non-federal,,,,,,,$/unit,,,,
4082,City of Boulder - Solar Sales and Use Tax Rebate,updated,https://bouldercolorado.gov/services/solar-tax-rebates,low,Program provides a ~15% refund on city sales and use tax paid (~$140 average for a 4.5 kW PV system) for PV and solar water heating installations. Exact credit percentage or rebate dollar amount relative to full system cost is not explicitly defined. Technology mapping to electric WH for solar water heating needs reviewer confirmation.,reference,City of Boulder - Solar Sales and Use Tax Rebate: https://bouldercolorado.gov/services/solar-tax-rebates,CO,all,all,water heating,electric WH,electricity,,,,non-federal,,,,,,,,2006,,,
22718,Colorado - Home Electrification and Appliance Rebate (HEAR) Program,updated,https://energyoffice.colorado.gov/home-energy-rebates,medium,"HEAR program covers multiple tech categories (heat pumps, HPWH, electric stoves, panels, insulation). Drafted row for cold-climate heat pump ($8,000 rebate). Credit pct varies by income level (100% cost covered for <80% AMI, 50% for 80-150% AMI). Specific numeric performance threshold (COP/SEER2) beyond ENERGY STAR is not specified. Program start year is not explicitly stated in text.",reference,Colorado - Home Electrification and Appliance Rebate (HEAR) Program: https://energyoffice.colorado.gov/home-energy-rebates,CO,all residential,all,heating,ASHP,electricity,all,,replace,non-federal,yes,,,,,8000,$/unit,,2026,,
5349,Colorado Residential Energy Upgrade (RENU) Loan program,updated,https://www.cocleanenergyfund.com/renu#homeowners,low,"This entry represents a loan financing program offering low-interest loans (up to $75,000 at 6.99%-11.365% APR for up to 15-20 years) rather than a direct cash rebate or tax credit. Specific performance criteria, start/end years, and direct rebate dollar amounts are not provided in the input summary. The reviewer should determine if/how loan subsidies should be converted to an equivalent cash rebate value in Scout.",reference,Colorado Residential Energy Upgrade (RENU) Loan program: https://www.cocleanenergyfund.com/renu#homeowners,CO,all residential,all,all,all,all,all,,replace,non-federal,,,,,,,,,,,
1302,Fort Collins Utilities - Epic Loan,updated,https://www.fcgov.com/utilities/epicloan,low,"This program is a low-interest financing/loan program ($50,000 max loan, 3-15 year term, 5.25%-5.95% interest rate) rather than a direct rebate or tax credit. Need to determine whether financing programs are included in sub_fed/incentives.csv and how loan terms should be converted to an equivalent rebate or cost reduction.",reference,Fort Collins Utilities - Epic Loan: https://www.fcgov.com/utilities/epicloan,CO,all residential,existing,all,all,all,all,,replace,non-federal,,,,,,,,,,,
5583,Green Colorado Credit Reserve,updated,https://energyoffice.colorado.gov/green-colorado-credit-reserve,low,"This program is a loan loss reserve mechanism (providing 15% reserve to lenders on loans up to $100,000) rather than a direct equipment rebate or tax credit. No specific rebate amount, credit percentage, performance criteria, start/end years, or equipment-level details are specified.",reference,Green Colorado Credit Reserve (Colorado Housing Finance Authority): https://energyoffice.colorado.gov/green-colorado-credit-reserve,CO,commercial,all,all,all,all,,,,non-federal,,,,,,,,,,,
22763,High Country Conservation - Solarize Summit,updated,https://highcountryconservation.org/solarize-summit/,low,"Solar PV is an onsite power generation technology rather than a standard Scout end-use equipment type. Program applies only to specific towns in Summit County, CO (Breckenridge, Silverthorne, Frisco, Summit County) for a short timeframe (Feb 1 - May 31, 2025). Additional 5% discount up to $750 from installer Active Energies Solar is not included in rebate_amount.",reference,High Country Conservation Solarize Summit: https://highcountryconservation.org/solarize-summit/,CO,all residential,all,all,solar PV,electricity,,,replace,non-federal,,,,,,1650,$/system,2025,2025,,
2501,Local Option - Property Tax Exemption for Renewable Energy Systems,updated,,low,"Program details state incentive amounts vary by local jurisdiction and no specific equipment performance criteria, dollar rebate amounts, credit percentages, or specific Scout tech types are provided. Source URL was missing in input record.",reference,"Local Option - Property Tax Exemption for Renewable Energy Systems (Department of Local Affairs, Local Governments)",CO,"all residential, all commercial",all,all,all,all,,,,non-federal,,,,,,,,2007,,,
2502,Local Option - Sales and Use Tax Exemption for Renewable Energy Systems,updated,,low,Local option program with varying rebate/credit amounts by municipality/county; no explicit numeric incentive amount or credit percentage provided in DSIRE summary. No performance requirements or source URL provided. Geothermal systems mapped to GSHP (heating).,reference,"Local Option - Sales and Use Tax Exemption for Renewable Energy Systems (Department of Local Affairs, Local Governments)",CO,"all residential, all commercial",all,heating,GSHP,electricity,all,,replace,non-federal,,,,,,,,2007,,,
3697,Morgan County REA - Efficiency Credit/Rebate Programs,updated,https://www.mcrea.org/energy-efficiency-rebates,low,"DSIRE summary lists multiple rebate amounts ($30-$350/unit, $250-$500/ton) across multiple technologies without linking specific rebate values or performance thresholds to heat pump water heaters. The 2025 Rebate Guide PDF cited in the details should be reviewed to extract exact rebate amounts, performance requirements, and program end dates.",reference,Morgan County REA - Efficiency Credit/Rebate Programs: https://www.mcrea.org/energy-efficiency-rebates,CO,all residential,all,water heating,electric WH,electricity,,,replace,non-federal,,,,,,,,2025,,,
4210,Property Tax Exemption for Residential Renewable Energy Equipment,updated,https://cdola.colorado.gov/renewable-energy,low,"This program is a property tax exemption for residential renewable energy (solar PV and energy storage) rather than a direct rebate or income tax credit for Scout's core building envelope/HVAC equipment. Specific rebate amounts, credit percentages based on equipment cost, start/end years, and performance metrics are not defined in the source summary.",reference,Property Tax Exemption for Residential Renewable Energy Equipment: https://cdola.colorado.gov/renewable-energy,CO,all residential,all,all,all,electricity,,,,non-federal,,,,,,,,,,,
2388,Renewable Energy Property Tax Assessment,updated,https://dpt.colorado.gov/renewable-energy,low,"Property tax assessment/valuation methodology for renewable energy generation facilities (grid-connected solar PV, wind, geothermal, biomass, etc.). Does not contain direct equipment-level rebate amounts, credit percentages, or performance thresholds for standard Scout building efficiency upgrades. Review whether property tax rules should be included in incentives.csv or filtered out.",reference,Renewable Energy Property Tax Assessment (Colorado Department of Local Affairs): https://dpt.colorado.gov/renewable-energy,CO,all,all,all,all,electricity,,,,non-federal,,,,,,,,,,,
4850,Roaring Fork Valley - Energy Smart Colorado Home Energy Upgrade Rebates,updated,https://energysmartcolorado.org/rebates-for-your-home/,low,"Missing numeric performance criteria (e.g., COP or SEER/HSPF) and program start/end years; verify rebate units ($/unit vs $/home); create separate candidate rows for HPWH, insulation, and air sealing.",reference,Roaring Fork Valley - Energy Smart Colorado Home Energy Upgrade Rebates: https://energysmartcolorado.org/rebates-for-your-home/,CO,all residential,all,heating,ASHP,electricity,all,,replace,non-federal,,,,,,2000,$/unit,,,,
5628,Xcel Energy - Commercial Energy Efficiency Financing,updated,https://co.my.xcelenergy.com/s/business/financing,low,"This entry describes a loan program rather than a direct rebate or tax credit. No specific equipment technologies, performance thresholds, start/end dates, or direct rebate dollar amounts/percentages are provided in the source. Human reviewer should determine whether financing programs belong in sub_fed/incentives.csv or should be excluded.",reference,Xcel Energy - Commercial Energy Efficiency Financing: https://co.my.xcelenergy.com/s/business/financing,CO,all commercial,all,all,all,all,all,,,non-federal,,,,,,,,,,,
5627,Xcel Energy - Residential Energy Efficiency Financing,updated,https://co.my.xcelenergy.com/s/residential/home-rebates/energy-efficiency-financing,low,"This record represents a residential loan program (up to $75,000 financing, 3-20 year terms, starting interest rate 6.99%) rather than a direct cash rebate or tax credit. Rebate amount and credit percentage are left blank because loan capital is not a direct financial grant/rebate. Specific equipment rebates offered by Xcel Energy would require separate rebate program records.",reference,Xcel Energy - Residential Energy Efficiency Financing: https://co.my.xcelenergy.com/s/residential/home-rebates/energy-efficiency-financing,CO,all residential,all,all,all,all,all,,replace,non-federal,,,,,,,,,,,
1581,Xcel Energy - Residential Energy Efficiency Rebate Programs,updated,https://co.my.xcelenergy.com/s/residential/home-rebates,low,"DSIRE record combines multiple residential equipment types (ASHP, GSHP, HPWH, insulation, furnaces, boilers) and provides multiple variable rebate amounts ($300-$3300/ton, % of cost caps, fixed amounts). Need to reference the linked 2025 Rebate Summary PDF to create distinct rows per technology with specific performance thresholds and rebate values.",reference,Xcel Energy - Residential Energy Efficiency Rebate Programs: https://co.my.xcelenergy.com/s/residential/home-rebates,CO,all residential,all,heating,ASHP,electricity,all,,replace,non-federal,,,,,,,,2025,,,
1772,Groton Utilities - Residential Energy Efficiency Rebate Program,updated,https://grotonutilities.com/energy-conservation/rebate-center/,medium,"DSIRE record covers multiple technologies (heat pump water heater $2500, mini-split HVAC $3000/ton up to $5000/compressor, attic insulation $2.00-$2.50/sq ft, programmable thermostats $200); this candidate row drafts the heat pump water heater rebate. Specific performance criteria (e.g., UEF requirement) and exact start/end years are omitted in the program summary and need to be verified from the utility application guidelines. Applicable fraction needs analyst evaluation.",reference,Groton Utilities - Residential Energy Efficiency Rebate Program: https://grotonutilities.com/energy-conservation/rebate-center/,CT,all residential,all,water heating,electric WH,electricity,all,,replace,non-federal,,,,,,2500,$/unit,,,,
3111,Norwich Public Utilities - Commercial Energy Efficiency Rebate Program,updated,https://www.norwichpublicutilities.com/309/Efficiency-Programs-Rebates,low,"Program title indicates Commercial, but summary/details list both residential and commercial technologies. Specific performance criteria (e.g., SEER/EER/COP/HSPF) and program start/end years are not provided in the summary and need verification from the program URL. Multiple rebate levels exist for heat pumps ($200-$300/ton vs $1,200/ton for CHIPP); $1,200/ton was drafted.",reference,Norwich Public Utilities - Commercial Energy Efficiency Rebate Program: https://www.norwichpublicutilities.com/309/Efficiency-Programs-Rebates,CT,all commercial,all,heating,ASHP,electricity,all,,replace,non-federal,,,,,,1200,$/ton,,,,
5245,Solar Energy System and Cogeneration System Personal Property Tax Credit,updated,,low,"This program provides a 100% personal property tax exemption rather than a direct equipment rebate or income tax credit based on capital cost. Neither solar PV/thermal nor cogeneration cleanly maps to Scout's standard equipment taxonomy (ASHP, WH, etc.). Reviewer should decide if property tax exemptions fit Scout's input structure and provide a source URL if available.",reference,Solar Energy System and Cogeneration System Personal Property Tax Credit,DC,all,all,all,all,all,,,,non-federal,,,,,,,,2013,,,
22803,"Solar, Storage, and Electric Vehicle  Charging Real Property Tax Exemption",updated,,low,"This program is a property tax exemption (100% of assessed value of real property used for solar energy, energy storage, solar management, or EV charging by nonprofits) rather than a direct equipment rebate or income tax credit. No specific start/end years or numeric rebate dollar amounts are specified. Reviewer must decide if property tax exemptions and PV/storage/EV charging technologies map to Scout ECMs.",reference,"Solar, Storage, and Electric Vehicle Charging Real Property Tax Exemption: https://lims.dccouncil.gov/downloads/LIMS/58199/Signed_Act/B26-0340-Signed_Act.pdf?Id=219873",DC,all commercial,all,all,all,electricity,,,,non-federal,,,,,,,,,,,
5399,Sustainable Energy Utility - Residential Energy Efficiency Rebate Program,expired+updated,https://www.dcseu.com/homes,low,"Program covers multiple technologies (ASHP, HPWH, appliances, electrical upgrades). This draft focuses on Air Source Heat Pumps. Rebate amount is reported as a wide range ($1,000 - $5,000) depending on equipment specifications or income tier, so rebate_amount is left blank. Specific performance thresholds (SEER2/HSPF2/COP), start year, and end year are missing from the DSIRE summary and require checking the administrator website.",reference,DCSEU Residential Energy Efficiency Rebate Program: https://www.dcseu.com/homes,DC,all residential,all,heating,ASHP,electricity,all,,replace,non-federal,,,,,,,$/unit,,,,
4386,Delaware Electric Cooperative - Green Energy Program Incentives,updated,https://solargrantdelaware.com/,medium,"The incentive rate is $0.70/Watt capped at $2,000 per residential service address and 50% of total project cost. Need reviewer clarification on mapping Solar PV to Scout's technology taxonomy, whether commercial systems ($10,000 cap) should be represented in a separate row, and what end year to assume.",reference,Energize Delaware Solar Grant Delaware Program: https://solargrantdelaware.com/,DE,all residential,all,all,all,electricity,,,replace,non-federal,,,,,50,2000,$/home,2024,,,
5223,City of Lauderhill - Revolving Loan Program,updated,https://www.lauderhill-fl.gov/community-services/interest-free-loans,low,"This program is a 0% interest revolving loan program ($400-$2,500 loan limit) rather than a direct cash rebate or tax credit; rebate_amount and credit_pct are left blank. The program covers multiple ENERGY STAR appliances and solar systems; central AC / cooling was selected as a placeholder. No numeric performance thresholds or program start/end years are explicitly stated.",reference,City of Lauderhill - Revolving Loan Program: https://www.lauderhill-fl.gov/community-services/interest-free-loans,FL,all residential,all,cooling,central AC,electricity,all,,replace,non-federal,,,,,,,,,,,
4225,City of Tallahassee Utilities - Efficiency Loans,updated,http://www.talgov.com/you/you-products-home-loans.aspx,low,"This entry describes a loan program (5% interest rate, up to $15,000 / $20,000 loan) rather than a direct grant/rebate or tax credit. Reviewer should decide whether/how to quantify loan programs in Scout incentives.csv, and whether separate rows should be split out per technology (ASHP, water heater, solar, roof, etc.).",reference,City of Tallahassee Utilities - Efficiency Loans: http://www.talgov.com/you/you-products-home-loans.aspx,FL,all,all,all,all,all,all,,replace,non-federal,,,,,,,,,,,
1774,City of Tallahassee Utilities - Grant Programs,updated,http://www.talgov.com/you/you-products-home-index.aspx,low,"The program summary describes multiple incentives (ceiling insulation, energy-efficiency retrofits like duct/coil repair). This row drafts the ceiling insulation grant (80% up to $400, or $500 for income-qualified). Verify if 'roof' is the appropriate Scout tech for ceiling insulation and whether R-value requirements exist. Start and end years are not specified in the input.",reference,City of Tallahassee Utilities - Ceiling Insulation Grant: http://www.talgov.com/you/you-products-home-index.aspx,FL,all residential,all,heating,roof,all,all,,replace,non-federal,,,,,80,400,$/home,,,,
22634,Florida - National Electric Vehicle Infrastructure (NEVI) Formula Grant Program,updated,https://www.fdot.gov/planning/policy/ev/electric-vehicle-infrastructure-funding,low,EV charging infrastructure does not map to standard Scout building end uses or equipment technologies. Specific incentive dollar amounts and performance efficiency thresholds are not defined in the source summary.,reference,Florida - National Electric Vehicle Infrastructure (NEVI) Formula Grant Program: https://www.fdot.gov/planning/policy/ev/electric-vehicle-infrastructure-funding,FL,,,,,electricity,,,,non-federal,,,,,,,,2023,,,
3869,Florida PACE programs,updated,https://floridapace.gov/about-pace/,low,"This entry describes PACE financing (property-assessed financing mechanism) rather than a direct rebate or tax credit. No specific rebate dollar amount, tax credit percentage, or equipment performance efficiency thresholds are specified. Review whether financing programs belong in sub_fed/incentives.csv or if specific local program incentive values are available.",reference,Florida PACE programs: https://floridapace.gov/about-pace/,FL,"all residential, all commercial",all,all,all,all,,,,non-federal,,,,,,,,2010,,,
4608,JEA - Commercial Energy Efficiency Rebate Program,updated,https://www.jea.com/business_resources/rebates_for_businesses/,medium,"The program summary covers multiple commercial measures (chillers, unitary A/C, cool roof, window film, HPWH, lighting, VFDs). Drafted for Heat Pump Water Heaters ($250/unit). Numeric performance thresholds and effective start/end dates are not provided in the summary and require review of official JEA program documentation. Additional rows may be required for other measures (e.g., cool roof at $0.10/sq ft).",reference,JEA Commercial Energy Efficiency Rebate Program: https://www.jea.com/business_resources/rebates_for_businesses/,FL,all commercial,all,water heating,electric WH,electricity,all,,replace,non-federal,,,,,,250,$/unit,,,,
22120,Lakeland Electric - Residential Energy Efficiency Loan Program,updated,https://lakelandelectric.com/programs-and-services/energy?tab=tabrebate,low,"This program offers 0% interest financing ($500-$5,000 max loan) rather than direct rebates or tax credits, covering multiple technologies (HPWH, HVAC, GSHP, insulation, windows, PV). Numeric rebate amounts, efficiency thresholds, and start/end years are not specified in the input text. Reviewer should verify if financing programs are modeled in Scout and if separate rows are needed for each equipment type.",reference,Lakeland Electric - Residential Energy Efficiency Loan Program: https://lakelandelectric.com/programs-and-services/energy?tab=tabrebate,FL,all residential,all,water heating,electric WH,electricity,all,,replace,non-federal,,,,,,,,,,,
4932,Miami-Dade County - Florida PACE Finance Programs,updated,https://www.miamidade.gov/global/economy/resilience/energy.page,low,"This program is a PACE financing mechanism (loan repayment via property tax assessment) rather than a direct rebate or tax credit, and no quantitative incentive amounts, credit percentages, or technical performance thresholds are specified in the source text. Review whether PACE financing programs should be represented in incentives.csv.",reference,Miami-Dade County - Florida PACE Finance Programs: https://www.miamidade.gov/global/economy/resilience/energy.page,FL,all,all,all,all,all,,,,non-federal,,,,,,,,2010,,,
3128,Miami-Dade County - Green Building Expedited Plan Review,updated,https://www.miamidade.gov/permits/home.asp?cat=build&subcat=plan&filter1=green,low,This program provides expedited permitting for green buildings and solar installations rather than a direct cash rebate or tax credit. No financial rebate or tax credit value is specified. Check whether non-monetary incentives are tracked in Scout's incentives.csv.,reference,Miami-Dade County - Green Building Expedited Plan Review: https://www.miamidade.gov/permits/home.asp?cat=build&subcat=plan&filter1=green,FL,"all residential, commercial",new construction,all,all,all,,,,non-federal,,,,,,,,2005,,,
5426,Property Tax Abatement for Renewable Energy Property,expired+updated,,low,Property tax exemption (100% exemption on added property tax assessment value) does not directly translate to an equipment capital cost credit percentage or rebate amount. Performance thresholds are not specified. Source URL is missing in the source record.,reference,Property Tax Abatement for Renewable Energy Property,FL,all residential,all,heating,GSHP,electricity,all,,replace,non-federal,,,,,,,,2014,,,
